Date,Open,High,Low,Close*,Adj Close**,Volume
2019-01-01,73.26,86.82,73.05,85.94,85.94,2680034000.0
2019-02-01,81.94,83.65,78.34,81.99,81.99,1618738000.0
2019-03-01,82.76,91.19,79.33,89.04,89.04,2016644000.0
2019-04-01,90.01,97.82,89.94,96.33,96.33,1624784000.0
2019-05-01,96.65,98.22,88.64,88.75,88.75,1964288000.0
2019-06-01,88.0,96.76,83.6,94.68,94.68,1494930000.0
2019-07-01,96.15,101.79,92.47,93.34,93.34,1462976000.0
2019-08-01,93.59,94.9,87.18,88.81,88.81,1595424000.0
2019-09-01,88.5,92.68,85.46,86.8,86.8,1223458000.0
2019-10-01,87.3,89.94,84.25,88.83,88.83,1407210000.0
2019-11-01,89.4,91.23,86.14,90.04,90.04,1041524000.0
2019-12-01,90.22,95.07,86.75,92.39,92.39,1362992000.0
2020-01-01,93.75,102.79,90.77,100.44,100.44,1693966000.0
2020-02-01,100.53,109.3,90.56,94.19,94.19,1850202000.0
2020-03-01,95.32,99.82,81.3,97.49,97.49,3276182000.0
2020-04-01,96.65,123.75,94.46,123.7,123.7,2492196000.0
2020-05-01,116.84,126.27,112.82,122.12,122.12,1651688000.0
2020-06-01,122.4,139.8,121.86,137.94,137.94,1756366000.0
2020-07-01,137.9,167.21,137.7,158.23,158.23,2550040000.0
2020-08-01,159.03,174.75,153.65,172.55,172.55,1670332000.0
2020-09-01,174.48,177.61,143.55,157.44,157.44,2317986000.0
2020-10-01,160.4,174.81,150.95,151.81,151.81,2324522000.0
2020-11-01,153.09,168.34,147.51,158.4,158.4,1816210000.0
2020-12-01,159.43,167.53,153.64,162.85,162.85,1551124000.0
2021-01-01,163.5,168.19,154.3,160.31,160.31,1430578000.0
2021-02-01,162.12,171.7,151.84,154.65,154.65,1442140000.0
2021-03-01,156.39,159.1,144.05,154.7,154.7,1563760000.0
2021-04-01,155.9,177.7,155.78,173.37,173.37,1536792000.0
2021-05-01,174.24,174.33,156.37,161.15,161.15,1503678000.0
2021-06-01,162.18,176.24,158.61,172.01,172.01,1340220000.0
2021-07-01,171.73,188.65,165.35,166.38,166.38,1674586000.0
2021-08-01,167.65,173.63,158.79,173.54,173.54,1256964000.0
2021-09-01,174.82,177.5,163.7,164.25,164.25,1250554000.0
2021-10-01,164.45,173.95,158.81,168.62,168.62,1273466000.0
2021-11-01,168.09,188.11,164.18,175.35,175.35,1515990000.0
2021-12-01,177.25,177.99,165.2,166.72,166.72,1287634000.0
2022-01-01,167.55,171.4,135.35,149.57,149.57,1524654000.0
2022-02-01,150.0,163.83,138.33,153.56,153.56,1689604000.0
2022-03-01,152.73,170.83,133.57,163.0,163.0,1628486000.0
2022-04-01,164.15,168.39,121.63,124.28,124.28,1465008000.0
2022-05-01,122.4,126.22,101.26,120.21,120.21,2258476000.0
2022-06-01,122.26,128.99,101.43,106.21,106.21,1767601100.0
2022-07-01,106.29,137.65,105.85,134.95,134.95,1337852600.0
2022-08-01,134.96,146.57,126.74,126.77,126.77,1170449000.0
2022-09-01,126.0,136.49,112.06,113.0,113.0,1210487600.0
2022-10-01,113.58,123.0,97.66,102.44,102.44,1459311500.0
2022-11-01,103.99,104.58,85.87,96.54,96.54,2035133200.0
2022-12-01,96.99,97.23,81.69,84.0,84.0,1549193300.0
2023-01-01,85.46,103.49,81.43,103.13,103.13,1523798600.0
2023-02-01,102.53,114.0,92.32,94.23,94.23,1364102000.0
2023-03-01,93.87,103.49,88.12,103.29,103.29,1349240300.0
2023-04-01,102.3,110.86,97.71,105.45,105.45,1224083600.0
2023-05-01,104.95,122.92,101.15,120.58,120.58,1432891600.0
2023-06-01,120.69,131.49,119.93,130.36,130.36,1242648800.0
2023-07-01,130.82,136.65,125.92,133.68,133.68,1058754800.0
2023-08-01,133.55,143.63,126.41,138.01,138.01,1210426200.0
2023-09-01,139.46,145.86,123.04,127.12,127.12,1120271900.0
2023-10-01,127.28,134.48,118.35,133.09,133.09,1224564700.0
2023-11-01,133.96,149.26,133.71,146.09,146.09,1025986900.0
2023-12-01,146.0,155.63,142.81,151.94,151.94,931128600.0
2024-01-01,151.54,161.73,144.05,155.2,155.2,953344900.0
2024-02-01,155.87,177.22,155.62,176.76,176.76,1045061200.0
2024-03-01,176.75,181.7,171.47,180.38,180.38,701928900.0
2024-04-01,180.79,189.77,166.32,179.62,179.62,766430600.0
